year,season,time,valid_time,t2m
2022,autumn,22:00:00,2022-10-16 21:59:59.999999744,10.445081421978022
2022,autumn,23:00:00,2022-10-16 23:00:00.000000000,10.330131461538462
2023,winter,00:00:00,2023-01-16 00:00:00.000000000,4.599281564193548
2023,winter,01:00:00,2023-01-15 13:00:00.000000000,4.635870373666666
2023,winter,02:00:00,2023-01-15 14:00:00.000000000,4.658022034333333
2023,winter,03:00:00,2023-01-15 15:00:00.000000000,4.58797809895
2023,winter,04:00:00,2023-01-15 16:00:00.000000000,4.518300355333333
2023,winter,05:00:00,2023-01-15 17:00:00.000000000,4.5287821379999995
2023,winter,06:00:00,2023-01-15 18:00:00.000000000,4.566518143333334
2023,winter,07:00:00,2023-01-15 19:00:00.000000000,4.569244376666666
2023,winter,08:00:00,2023-01-15 20:00:00.000000000,4.55055133
2023,winter,09:00:00,2023-01-15 21:00:00.000000000,4.580141192666667
2023,winter,10:00:00,2023-01-15 22:00:00.000000000,5.0626118998
2023,winter,11:00:00,2023-01-15 23:00:00.000000000,5.701096596666667
2023,winter,12:00:00,2023-01-16 00:00:00.000000000,6.294374649333333
2023,winter,13:00:00,2023-01-16 01:00:00.000000000,6.616550692000001
2023,winter,14:00:00,2023-01-16 02:00:00.000000000,6.70774535
2023,winter,15:00:00,2023-01-16 03:00:00.000000000,6.566745979333334
2023,winter,16:00:00,2023-01-16 04:00:00.000000000,6.170912717666667
2023,winter,17:00:00,2023-01-16 05:00:00.000000000,5.732208254333333
2023,winter,18:00:00,2023-01-16 06:00:00.000000000,5.485829672666667
2023,winter,19:00:00,2023-01-16 07:00:00.000000000,5.389125570666667
2023,winter,20:00:00,2023-01-16 08:00:00.000000000,5.211781858666667
2023,winter,21:00:00,2023-01-16 09:00:00.000000000,4.909714751
2023,winter,22:00:00,2023-01-16 10:00:00.000000000,4.721392852666667
2023,winter,23:00:00,2023-01-16 11:00:00.000000000,4.630287691666667
2023,spring,00:00:00,,
2023,spring,01:00:00,,
2023,spring,02:00:00,,
2023,spring,03:00:00,,
2023,spring,04:00:00,,
2023,spring,05:00:00,,
2023,spring,06:00:00,,
2023,spring,07:00:00,,
2023,spring,08:00:00,,
2023,spring,09:00:00,,
2023,spring,10:00:00,,
2023,spring,11:00:00,,
2023,spring,12:00:00,,
2023,spring,13:00:00,,
2023,spring,14:00:00,,
2023,spring,15:00:00,,
2023,spring,16:00:00,,
2023,spring,17:00:00,,
2023,spring,18:00:00,,
2023,spring,19:00:00,,
2023,spring,20:00:00,,
2023,spring,21:00:00,,
2023,spring,22:00:00,,
2023,spring,23:00:00,,
2023,summer,00:00:00,,
2023,summer,01:00:00,,
2023,summer,02:00:00,,
2023,summer,03:00:00,,
2023,summer,04:00:00,,
2023,summer,05:00:00,,
2023,summer,06:00:00,,
2023,summer,07:00:00,,
2023,summer,08:00:00,,
2023,summer,09:00:00,,
2023,summer,10:00:00,,
2023,summer,11:00:00,,
2023,summer,12:00:00,,
2023,summer,13:00:00,,
2023,summer,14:00:00,,
2023,summer,15:00:00,,
2023,summer,16:00:00,,
2023,summer,17:00:00,,
2023,summer,18:00:00,,
2023,summer,19:00:00,,
2023,summer,20:00:00,,
2023,summer,21:00:00,,
2023,summer,22:00:00,,
2023,summer,23:00:00,,
2023,autumn,00:00:00,,
2023,autumn,01:00:00,,
2023,autumn,02:00:00,,
2023,autumn,03:00:00,,
2023,autumn,04:00:00,,
2023,autumn,05:00:00,,
2023,autumn,06:00:00,,
2023,autumn,07:00:00,,
2023,autumn,08:00:00,,
2023,autumn,09:00:00,,
2023,autumn,10:00:00,,
2023,autumn,11:00:00,,
2023,autumn,12:00:00,,
2023,autumn,13:00:00,,
2023,autumn,14:00:00,,
2023,autumn,15:00:00,,
2023,autumn,16:00:00,,
2023,autumn,17:00:00,,
2023,autumn,18:00:00,,
2023,autumn,19:00:00,,
2023,autumn,20:00:00,,
2023,autumn,21:00:00,,
2023,autumn,22:00:00,,
2023,autumn,23:00:00,,
